Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandhyundi,DFBETAS brandmerc,DFBETAS transmissionManual,DFBETAS transmissionSemi.Auto,DFBETAS mileage,DFBETAS tax,DFBETAS engineSize
,3884,2615,3406,2153,,2406,,2301,3828,3600,3356
,3898,2639,3409,2166,,2423,,2323,3898,3650,3378
,3946,2648,3413,2192,,2432,,2329,3933,3652,3398
,3968,2659,3422,2196,,2433,,2330,3943,3672,3399
,3984,2680,3458,2207,,2469,,2340,3946,3678,3406
,3995,2699,3534,2217,,2485,,2344,3976,3735,3409
,4002,2703,3542,2235,,2501,,2357,4002,3831,3464
,4006,2713,3551,2238,,2503,,2362,4017,3864,3542
,4017,2721,3600,2251,,2508,,2364,4030,3898,3600
,4023,2754,3603,2262,,2516,,2365,4042,3923,3627
,4042,2762,3627,2265,,2532,,2375,4094,3933,3650
,4054,2779,3650,2267,,2535,,2380,4103,3946,3652
,4055,2783,3652,2275,,2548,,2394,4144,3995,3672
,4076,2795,3672,2290,,2561,,2400,4149,4002,3676
,4094,2801,3678,2330,,2568,,2406,4168,4017,3678
,4120,2812,3680,2344,,2573,,2432,4186,4023,3735
,4144,2827,3724,2357,,2577,,2433,4221,4042,3807
,4162,2847,3735,2362,,2603,,2438,4234,4054,3831
,4167,2899,3807,2365,,2615,,2469,4280,4073,3898
,4173,2915,3831,2375,,2621,,2482,4330,4094,3933
,4186,2927,3889,2380,,2634,,2485,4346,4162,3946
,4211,2930,3898,2394,,2638,,2501,4352,4172,3968
,4230,2943,3933,2397,,2639,,2508,4367,4186,3974
,4238,2954,3946,2400,,2676,,2516,4368,4196,3995
,4280,2961,3968,2406,,2679,,2527,4386,4211,4002
,4299,2962,3995,2422,,2680,,2532,4472,4236,4017
,4366,3014,4002,2433,,2689,,2559,4488,4280,4030
,4367,3015,4017,2438,,2699,,2563,4541,4299,4073
,4379,3035,4023,2482,,2703,,2568,4555,4330,4076
,4389,3036,4030,2485,,2705,,2571,4573,4346,4094
,4467,3038,4073,2508,,2707,,2577,4672,4366,4144
,4472,3046,4076,2525,,2747,,2615,4674,4368,4152
,4493,3059,4094,2527,,2771,,2616,4679,4377,4172
,4499,3072,4130,2532,,2783,,2632,4690,4382,4185
,4548,3092,4144,2534,,2793,,2648,4734,4389,4196
,4579,3104,4152,2540,,2795,,2654,4747,4467,4211
,4580,3124,4162,2550,,2799,,2659,4777,4493,4318
,4659,3127,4172,2559,,2827,,2676,4778,4542,4329
,4674,3129,4185,2563,,2877,,2679,4819,4564,4330
,4679,3134,4186,2571,,2915,,2689,4826,4573,4337
,4690,3151,4196,2577,,2927,,2699,4836,4580,4360
,4711,3163,4211,2594,,2929,,2703,4842,4583,4366
,4733,3181,4299,2605,,2930,,2707,4844,4674,4368
,4753,3183,4329,2606,,2935,,2754,4856,4690,4382
,4799,3192,4330,2648,,2954,,2779,4867,4711,4386
,4856,3226,4337,2652,,2960,,2795,4896,4712,4389
,4868,3228,4360,2654,,2961,,2799,4898,4733,4467
,4888,3235,4366,2659,,2965,,2817,4937,4753,4493
,4895,3237,4368,2697,,2972,,2824,4942,4778,4548
,4896,3285,4385,2699,,2979,,2827,,4799,4573
,4920,3307,4389,2704,,3015,,2828,,4836,4580
,4921,3312,4467,2721,,3035,,2847,,4843,4637
,4924,3324,4493,2731,,3036,,2877,,4893,4661
,4935,3329,4538,2741,,3037,,2899,,4895,4683
,4947,3333,4573,2754,,3076,,2915,,4920,4733
,,3343,4580,2764,,3092,,2930,,4921,4753
,,3344,4616,2779,,3104,,2935,,4929,4778
,,3346,4631,2812,,3124,,2961,,4937,4799
,,3355,4674,2824,,3129,,2962,,4942,4819
,,3378,4683,2847,,3143,,2964,,4947,4836
,,3398,4733,2899,,3151,,2972,,,4863
,,3399,4753,2906,,3174,,2979,,,4888
,,3406,4799,2915,,3177,,3015,,,4895
,,3409,4819,2927,,3180,,3018,,,4899
,,3411,4822,2930,,3183,,3035,,,4924
,,3441,4836,2955,,3226,,3036,,,4935
,,3473,4845,2961,,3228,,3038,,,4942
,,3482,4866,2962,,3235,,3059,,,4947
,,3483,4888,2964,,3237,,3072,,,
,,3484,4895,3015,,3238,,3091,,,
,,3534,4896,3018,,3241,,3101,,,
,,3542,4920,3019,,3253,,3104,,,
,,3592,4921,3025,,3297,,3124,,,
,,3600,4924,3026,,3312,,3127,,,
,,3603,4935,3036,,3343,,3129,,,
,,3615,4942,3038,,3356,,3151,,,
,,3627,4947,3046,,3378,,3181,,,
,,3650,,3059,,3398,,3183,,,
,,3652,,3072,,3399,,3192,,,
,,3672,,3091,,3403,,3228,,,
,,3676,,3101,,3409,,3235,,,
,,3678,,3104,,3411,,3237,,,
,,3724,,3124,,3416,,3303,,,
,,3734,,3127,,3419,,3312,,,
,,3735,,3151,,3420,,3324,,,
,,3741,,3173,,3429,,3343,,,
,,3749,,3181,,3452,,3355,,,
,,3802,,3183,,3476,,3356,,,
,,3807,,3192,,3483,,3377,,,
,,3831,,3196,,3492,,3378,,,
,,3898,,3199,,3498,,3398,,,
,,3933,,3201,,3506,,3399,,,
,,3946,,3213,,3600,,3411,,,
,,3995,,3235,,3603,,3419,,,
,,4002,,3237,,3626,,3420,,,
,,4017,,3245,,3629,,3429,,,
,,4023,,3252,,3638,,3452,,,
,,4030,,3257,,3650,,3458,,,
,,4031,,3285,,3652,,3464,,,
,,4042,,3291,,3654,,3483,,,
,,4073,,3303,,3672,,3527,,,
,,4076,,3308,,3676,,3542,,,
,,4094,,3312,,3678,,3592,,,
,,4152,,3322,,3716,,3598,,,
,,4153,,3324,,3724,,3600,,,
,,4162,,3333,,3735,,3603,,,
,,4172,,3343,,3741,,3615,,,
,,4185,,3344,,3804,,3629,,,
,,4186,,3346,,3832,,3632,,,
,,4196,,3348,,3870,,3638,,,
,,4205,,3355,,3889,,3650,,,
,,4211,,3360,,3898,,3652,,,
,,4299,,3377,,3911,,3676,,,
,,4302,,3378,,3923,,3678,,,
,,4308,,3398,,3933,,3680,,,
,,4330,,3399,,3938,,3716,,,
,,4360,,3406,,3940,,3724,,,
,,4361,,3409,,3946,,3735,,,
,,4362,,3436,,3967,,3741,,,
,,4366,,3441,,3978,,3749,,,
,,4368,,3444,,3995,,3768,,,
,,4382,,3464,,4002,,3802,,,
,,4386,,3484,,4017,,3804,,,
,,4389,,3509,,4027,,3831,,,
,,4463,,3527,,4030,,3891,,,
,,4467,,3531,,4065,,3898,,,
,,4488,,3542,,4093,,3933,,,
,,4493,,3571,,4130,,3940,,,
,,4555,,3592,,4152,,3946,,,
,,4573,,3600,,4165,,3959,,,
,,4580,,3615,,4173,,3967,,,
,,4608,,3632,,4208,,3974,,,
,,4631,,3650,,4211,,3980,,,
,,4637,,3652,,4215,,3995,,,
,,4661,,3672,,4233,,4023,,,
,,4674,,3676,,4253,,4030,,,
,,4684,,3678,,4270,,4031,,,
,,4690,,3695,,4308,,4073,,,
,,4733,,3734,,4324,,4149,,,
,,4753,,3735,,4351,,4151,,,
,,4778,,3749,,4366,,4152,,,
,,4799,,3753,,4368,,4153,,,
,,4819,,3768,,4375,,4172,,,
,,4836,,3802,,4380,,4205,,,
,,4882,,3807,,4382,,4211,,,
,,4895,,3816,,4386,,4215,,,
,,4896,,3822,,4389,,4233,,,
,,4920,,3829,,4398,,4302,,,
,,4921,,3831,,4421,,4308,,,
,,4924,,3879,,4427,,4324,,,
,,4929,,3891,,4435,,4330,,,
,,4935,,3898,,4467,,4348,,,
,,4942,,3908,,4473,,4360,,,
,,4947,,3946,,4476,,4361,,,
,,,,3968,,4509,,4366,,,
,,,,3974,,4555,,4368,,,
,,,,3980,,4573,,4380,,,
,,,,3995,,4583,,4382,,,
,,,,4002,,4631,,4386,,,
,,,,4017,,4637,,4389,,,
,,,,4023,,4641,,4404,,,
,,,,4031,,4661,,4463,,,
,,,,4073,,4664,,4467,,,
,,,,4076,,4674,,4488,,,
,,,,4087,,4676,,4493,,,
,,,,4094,,4690,,4501,,,
,,,,4141,,4693,,4519,,,
,,,,4144,,4708,,4538,,,
,,,,4148,,4733,,4551,,,
,,,,4149,,4745,,4555,,,
,,,,4151,,4755,,4573,,,
,,,,4152,,4778,,4608,,,
,,,,4153,,4783,,4618,,,
,,,,4168,,4784,,4631,,,
,,,,4172,,4799,,4637,,,
,,,,4174,,4843,,4661,,,
,,,,4177,,4863,,4674,,,
,,,,4185,,4871,,4684,,,
,,,,4196,,4889,,4714,,,
,,,,4205,,4893,,4733,,,
,,,,4209,,4895,,4783,,,
,,,,4211,,4920,,4799,,,
,,,,4243,,4921,,4819,,,
,,,,4259,,4929,,4836,,,
,,,,4285,,4942,,4843,,,
,,,,4299,,4956,,4863,,,
,,,,4302,,4960,,4866,,,
,,,,4329,,,,4882,,,
,,,,4339,,,,4895,,,
,,,,4347,,,,4899,,,
,,,,4348,,,,4900,,,
,,,,4360,,,,4942,,,
,,,,4361,,,,4947,,,
,,,,4362,,,,4957,,,
