Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandbmw,DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandvauxhall,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS fuelTypePetrol,DFBETAS engineSize
,3078,3355,4467,4463,3689,,,4916,4836,3409,
,3086,3372,4493,4467,3726,,,4917,4837,3427,
,3092,3398,4542,4488,3727,,,4921,4842,3441,
,3104,3399,4573,4493,3731,,,4924,4844,3464,
,3109,3406,4631,4494,3747,,,4929,4856,3510,
,3111,3409,4674,4573,3793,,,4935,4867,3522,
,3117,3413,4717,4576,3812,,,4937,4868,3598,
,3131,3441,4730,4661,3819,,,4947,4873,3600,
,3133,3472,4733,4684,3825,,,,4874,3632,
,3134,3542,4799,4733,3828,,,,4893,3650,
,3141,3600,4819,4741,3855,,,,4896,3652,
,3155,3650,4836,4750,3864,,,,4920,3695,
,3163,3652,4845,4771,3922,,,,4921,3707,
,3164,3658,4882,4808,3930,,,,4924,3727,
,3170,3695,4895,4819,3951,,,,4929,3735,
,3171,3727,4896,4820,3975,,,,4935,3772,
,3181,3735,4920,4836,3982,,,,4937,3825,
,3183,3825,4921,4861,3989,,,,,3828,
,3191,3828,4924,4867,4017,,,,,3831,
,3222,3831,4929,4868,4033,,,,,3864,
,3235,3876,4935,4893,4046,,,,,3884,
,3260,3883,4942,4920,4048,,,,,3898,
,3273,3884,4944,4921,4062,,,,,3946,
,3307,3898,4946,4924,4098,,,,,3974,
,3329,3910,4947,4929,4100,,,,,3976,
,3338,3946,,4935,4101,,,,,3995,
,3362,3976,,4942,4103,,,,,4017,
,3369,3995,,4947,4106,,,,,4062,
,3372,4006,,4957,4139,,,,,4098,
,3378,4017,,,4155,,,,,4111,
,3389,4042,,,4156,,,,,4155,
,3398,4055,,,4173,,,,,4172,
,3399,4098,,,4187,,,,,4187,
,3406,4103,,,4236,,,,,4194,
,3407,4144,,,4240,,,,,4233,
,3409,4155,,,4244,,,,,4250,
,3417,4172,,,4254,,,,,4298,
,3424,4173,,,4265,,,,,4329,
,3468,4187,,,4268,,,,,4330,
,3473,4222,,,4277,,,,,4356,
,3475,4240,,,4292,,,,,4360,
,3477,4250,,,4304,,,,,4361,
,3482,4268,,,4307,,,,,4366,
,3487,4298,,,4311,,,,,4369,
,3502,4330,,,4313,,,,,4384,
,3508,4352,,,4319,,,,,4387,
,3526,4356,,,4325,,,,,4437,
,3541,4360,,,4330,,,,,4447,
,3542,4361,,,4356,,,,,4467,
,3549,4363,,,4384,,,,,4481,
,3575,4384,,,4385,,,,,4493,
,3600,4385,,,4417,,,,,4505,
,3627,4387,,,4437,,,,,4519,
,3652,4437,,,4452,,,,,4542,
,3658,4447,,,4467,,,,,4573,
,3670,4463,,,4498,,,,,4576,
,3672,4467,,,4505,,,,,4577,
,3685,4493,,,4542,,,,,4579,
,3690,4516,,,4549,,,,,4604,
,3698,4542,,,4551,,,,,4611,
,3706,4549,,,4552,,,,,4629,
,3711,4573,,,4553,,,,,4640,
,3735,4576,,,4577,,,,,4642,
,3743,4577,,,4611,,,,,4647,
,3759,4579,,,4612,,,,,4653,
,3771,4604,,,4616,,,,,4661,
,3779,4611,,,4626,,,,,4672,
,3786,4629,,,4629,,,,,4677,
,3803,4640,,,4633,,,,,4679,
,3807,4642,,,4640,,,,,4680,
,3823,4674,,,4642,,,,,4701,
,3824,4679,,,4674,,,,,4712,
,3828,4690,,,4675,,,,,4729,
,3833,4723,,,4676,,,,,4730,
,3846,4729,,,4687,,,,,4733,
,3852,4730,,,4701,,,,,4739,
,3884,4733,,,4712,,,,,4754,
